"date_of_interest","cases","count","areas"
"03/01/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"03/01/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/01/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/01/2020","CASE_COUNT",0,"BK"
"03/01/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/01/2020","HOSPITALIZED_COUNT",0,"BK"
"03/01/2020","DEATH_COUNT",0,"BK"
"03/01/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/01/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/01/2020","CASE_COUNT",0,"MN"
"03/01/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/01/2020","HOSPITALIZED_COUNT",0,"MN"
"03/01/2020","DEATH_COUNT",0,"MN"
"03/01/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/01/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/01/2020","CASE_COUNT",0,"QN"
"03/01/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/01/2020","HOSPITALIZED_COUNT",0,"QN"
"03/01/2020","DEATH_COUNT",0,"QN"
"03/01/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/01/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/01/2020","CASE_COUNT",0,"SI"
"03/01/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/01/2020","HOSPITALIZED_COUNT",0,"SI"
"03/01/2020","DEATH_COUNT",0,"SI"
"03/01/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/01/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","CASE_COUNT",0,"BX"
"03/02/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/02/2020","HOSPITALIZED_COUNT",0,"BX"
"03/02/2020","DEATH_COUNT",0,"BX"
"03/02/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/02/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/02/2020","CASE_COUNT",0,"BK"
"03/02/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/02/2020","HOSPITALIZED_COUNT",2,"BK"
"03/02/2020","DEATH_COUNT",0,"BK"
"03/02/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/02/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/02/2020","CASE_COUNT",0,"MN"
"03/02/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/02/2020","HOSPITALIZED_COUNT",0,"MN"
"03/02/2020","DEATH_COUNT",0,"MN"
"03/02/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/02/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/02/2020","CASE_COUNT",0,"QN"
"03/02/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/02/2020","HOSPITALIZED_COUNT",0,"QN"
"03/02/2020","DEATH_COUNT",0,"QN"
"03/02/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/02/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/02/2020","CASE_COUNT",0,"SI"
"03/02/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/02/2020","HOSPITALIZED_COUNT",0,"SI"
"03/02/2020","DEATH_COUNT",0,"SI"
"03/02/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/02/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/02/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","CASE_COUNT",0,"BX"
"03/03/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/03/2020","HOSPITALIZED_COUNT",1,"BX"
"03/03/2020","DEATH_COUNT",0,"BX"
"03/03/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/03/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/03/2020","CASE_COUNT",0,"BK"
"03/03/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/03/2020","HOSPITALIZED_COUNT",3,"BK"
"03/03/2020","DEATH_COUNT",0,"BK"
"03/03/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/03/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/03/2020","CASE_COUNT",0,"MN"
"03/03/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/03/2020","HOSPITALIZED_COUNT",1,"MN"
"03/03/2020","DEATH_COUNT",0,"MN"
"03/03/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/03/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/03/2020","CASE_COUNT",1,"QN"
"03/03/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/03/2020","HOSPITALIZED_COUNT",2,"QN"
"03/03/2020","DEATH_COUNT",0,"QN"
"03/03/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/03/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/03/2020","CASE_COUNT",0,"SI"
"03/03/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/03/2020","HOSPITALIZED_COUNT",0,"SI"
"03/03/2020","DEATH_COUNT",0,"SI"
"03/03/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/03/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/03/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","CASE_COUNT",0,"BX"
"03/04/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/04/2020","HOSPITALIZED_COUNT",0,"BX"
"03/04/2020","DEATH_COUNT",0,"BX"
"03/04/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/04/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/04/2020","CASE_COUNT",1,"BK"
"03/04/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/04/2020","HOSPITALIZED_COUNT",1,"BK"
"03/04/2020","DEATH_COUNT",0,"BK"
"03/04/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/04/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/04/2020","CASE_COUNT",2,"MN"
"03/04/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/04/2020","HOSPITALIZED_COUNT",1,"MN"
"03/04/2020","DEATH_COUNT",0,"MN"
"03/04/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/04/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/04/2020","CASE_COUNT",2,"QN"
"03/04/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/04/2020","HOSPITALIZED_COUNT",0,"QN"
"03/04/2020","DEATH_COUNT",0,"QN"
"03/04/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/04/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/04/2020","CASE_COUNT",0,"SI"
"03/04/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/04/2020","HOSPITALIZED_COUNT",0,"SI"
"03/04/2020","DEATH_COUNT",0,"SI"
"03/04/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/04/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/04/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","CASE_COUNT",0,"BX"
"03/05/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/05/2020","HOSPITALIZED_COUNT",1,"BX"
"03/05/2020","DEATH_COUNT",0,"BX"
"03/05/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/05/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/05/2020","CASE_COUNT",3,"BK"
"03/05/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/05/2020","HOSPITALIZED_COUNT",3,"BK"
"03/05/2020","DEATH_COUNT",0,"BK"
"03/05/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/05/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/05/2020","CASE_COUNT",0,"MN"
"03/05/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/05/2020","HOSPITALIZED_COUNT",5,"MN"
"03/05/2020","DEATH_COUNT",0,"MN"
"03/05/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/05/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/05/2020","CASE_COUNT",0,"QN"
"03/05/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/05/2020","HOSPITALIZED_COUNT",4,"QN"
"03/05/2020","DEATH_COUNT",0,"QN"
"03/05/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/05/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/05/2020","CASE_COUNT",0,"SI"
"03/05/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/05/2020","HOSPITALIZED_COUNT",1,"SI"
"03/05/2020","DEATH_COUNT",0,"SI"
"03/05/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/05/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/05/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","CASE_COUNT",2,"BX"
"03/06/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/06/2020","HOSPITALIZED_COUNT",1,"BX"
"03/06/2020","DEATH_COUNT",0,"BX"
"03/06/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/06/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/06/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/06/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/06/2020","HOSPITALIZED_COUNT_7DAY_AVG",1,"BX"
"03/06/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/06/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/06/2020","CASE_COUNT",1,"BK"
"03/06/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/06/2020","HOSPITALIZED_COUNT",1,"BK"
"03/06/2020","DEATH_COUNT",0,"BK"
"03/06/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/06/2020","CASE_COUNT_7DAY_AVG",1,"BK"
"03/06/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/06/2020","ALL_CASE_COUNT_7DAY_AVG",1,"BK"
"03/06/2020","HOSPITALIZED_COUNT_7DAY_AVG",2,"BK"
"03/06/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/06/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/06/2020","CASE_COUNT",3,"MN"
"03/06/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/06/2020","HOSPITALIZED_COUNT",3,"MN"
"03/06/2020","DEATH_COUNT",0,"MN"
"03/06/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/06/2020","CASE_COUNT_7DAY_AVG",1,"MN"
"03/06/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/06/2020","ALL_CASE_COUNT_7DAY_AVG",1,"MN"
"03/06/2020","HOSPITALIZED_COUNT_7DAY_AVG",1,"MN"
"03/06/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/06/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/06/2020","CASE_COUNT",1,"QN"
"03/06/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/06/2020","HOSPITALIZED_COUNT",2,"QN"
"03/06/2020","DEATH_COUNT",0,"QN"
"03/06/2020","PROBABLE_DEATH_COUNT",0,"QN"
"03/06/2020","CASE_COUNT_7DAY_AVG",1,"QN"
"03/06/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"03/06/2020","ALL_CASE_COUNT_7DAY_AVG",1,"QN"
"03/06/2020","HOSPITALIZED_COUNT_7DAY_AVG",1,"QN"
"03/06/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"03/06/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"03/06/2020","CASE_COUNT",1,"SI"
"03/06/2020","PROBABLE_CASE_COUNT",0,"SI"
"03/06/2020","HOSPITALIZED_COUNT",1,"SI"
"03/06/2020","DEATH_COUNT",0,"SI"
"03/06/2020","PROBABLE_DEATH_COUNT",0,"SI"
"03/06/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"03/06/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/07/2020","CASE_COUNT",0,"BX"
"03/07/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/07/2020","HOSPITALIZED_COUNT",1,"BX"
"03/07/2020","DEATH_COUNT",0,"BX"
"03/07/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/07/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/07/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/07/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"03/07/2020","HOSPITALIZED_COUNT_7DAY_AVG",1,"BX"
"03/07/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"03/07/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"03/07/2020","CASE_COUNT",2,"BK"
"03/07/2020","PROBABLE_CASE_COUNT",0,"BK"
"03/07/2020","HOSPITALIZED_COUNT",3,"BK"
"03/07/2020","DEATH_COUNT",0,"BK"
"03/07/2020","PROBABLE_DEATH_COUNT",0,"BK"
"03/07/2020","CASE_COUNT_7DAY_AVG",1,"BK"
"03/07/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"03/07/2020","ALL_CASE_COUNT_7DAY_AVG",1,"BK"
"03/07/2020","HOSPITALIZED_COUNT_7DAY_AVG",2,"BK"
"03/07/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"03/07/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"03/07/2020","CASE_COUNT",1,"MN"
"03/07/2020","PROBABLE_CASE_COUNT",0,"MN"
"03/07/2020","HOSPITALIZED_COUNT",0,"MN"
"03/07/2020","DEATH_COUNT",0,"MN"
"03/07/2020","PROBABLE_DEATH_COUNT",0,"MN"
"03/07/2020","CASE_COUNT_7DAY_AVG",1,"MN"
"03/07/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"03/07/2020","ALL_CASE_COUNT_7DAY_AVG",1,"MN"
"03/07/2020","HOSPITALIZED_COUNT_7DAY_AVG",1,"MN"
"03/07/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"03/07/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"03/07/2020","CASE_COUNT",3,"QN"
"03/07/2020","PROBABLE_CASE_COUNT",0,"QN"
"03/07/2020","HOSPITALIZED_COUNT",4,"QN"
"03/07/2020","DEATH_COUNT",0,"QN"
"03/07/2020","PROBABLE_DEATH_COUNT",0,"QN"
